INPUT_TABLE
Variable ID
LN1_Logit_relative-cost-logit

region,LandAllocatorRoot,LandNode1,logit.type
Southeast Asia,root,ProtectedUnmanagedPasture_Salween,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_IrrawaddyR,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_SittaungR,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_MalaysiaP,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_ChaoPhrR,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_ThaiGulf,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_IdnE,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_BorneoCstN,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_Kalimantan,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_IrianJaya,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_PapuaCst,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_JavaTimor,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_SepikR,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_FlyR,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_NewCaledn,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_ChileCstS,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_LaPuna,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_MarChiq,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_Salinas,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_RioLaPlata,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_ChileCstN,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_Pampas,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_ArgCstN,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_ArgColoR,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_NegroR,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_Patagonia,relative-cost-logit
Argentina,root,ProtectedUnmanagedPasture_ArgCstS,relative-cost-logit
Colombia,root,ProtectedUnmanagedPasture_SAmerCstN,relative-cost-logit
Colombia,root,ProtectedUnmanagedPasture_OrinocoR,relative-cost-logit
Colombia,root,ProtectedUnmanagedPasture_ColEcuaCst,relative-cost-logit
Colombia,root,ProtectedUnmanagedPasture_MagdalenaR,relative-cost-logit
Colombia,root,ProtectedUnmanagedPasture_AmazonR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_PacArctic,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_NelsonR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_FraserR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_MexCstNW,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_Caribbean,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_California,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_MissppRN,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_MissppRS,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaColoRN,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaColoRS,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_GreatBasin,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_MissouriR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_ArkWhtRedR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_TexasCst,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaCstSE,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_GreatLakes,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_OhioR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaPacNW,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_TennR,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_RioGrande,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaCstNE,relative-cost-logit
USA,root,ProtectedUnmanagedPasture_UsaCstE,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_NileR,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_AfrCstNE,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_AfrIntN,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_LChad,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_ShebJubR,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_AfrCstE,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_Madasgacar,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_RiftValley,relative-cost-logit
Africa_Eastern,root,ProtectedUnmanagedPasture_CongoR,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_MeditS,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_AfrCstNW,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_DeadSea,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_AfrCstNE,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_AfrIntN,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_NigerR,relative-cost-logit
Africa_Northern,root,ProtectedUnmanagedPasture_LChad,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_NileR,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_GuineaGulf,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AfrCstE,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_RiftValley,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AngolaCst,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_CongoR,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_ZambeziR,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AfrCstSE,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_OrangeR,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AfrCstSW,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AfrIntS,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_AfrCstS,relative-cost-logit
Africa_Southern,root,ProtectedUnmanagedPasture_LimpopoR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_AfrCstNW,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_NileR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_AfrCstW,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_AfrIntN,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_NigerR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_LChad,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_SenegalR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_VoltaR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_GuineaGulf,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_CongoR,relative-cost-logit
Africa_Western,root,ProtectedUnmanagedPasture_ZambeziR,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_AusCstN,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_AusCstE,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_AusCstW,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_AusInt,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_NewZealand,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_AusCstS,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_MurrayDrlg,relative-cost-logit
Australia_NZ,root,ProtectedUnmanagedPasture_Tasmania,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_OrinocoR,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_SAmerCstNE,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_AmazonR,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_BrzCstN,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_TocantinsR,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_BrzCstE,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_ParnaibaR,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_SaoFrancR,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_BrzCstS,relative-cost-logit
Brazil,root,ProtectedUnmanagedPasture_RioLaPlata,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_NWTerr,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_PacArctic,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_Mackenzie,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_HudsonBay,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_CanAtl,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_NelsonR,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_FraserR,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_ChurchillR,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_StLwrncR,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_MissouriR,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_GreatLakes,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_UsaPacNW,relative-cost-logit
Canada,root,ProtectedUnmanagedPasture_UsaCstNE,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_Caribbean,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_YucatanP,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_GrijUsuR,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_CntAmer,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_SAmerCstN,relative-cost-logit
Central America and Caribbean,root,ProtectedUnmanagedPasture_ColEcuaCst,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_VolgaR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_UralR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_Gobi,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_AmurR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_CaspianNE,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_BlackSeaN,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_YeniseiR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_CaspianE,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_ObR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_AmuDaryaR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_LBalkash,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_BlackSeaS,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_CaspianSW,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_SyrDaryaR,relative-cost-logit
Central Asia,root,ProtectedUnmanagedPasture_Tarim,relative-cost-logit
China,root,ProtectedUnmanagedPasture_RusCstSE,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Gobi,relative-cost-logit
China,root,ProtectedUnmanagedPasture_AmurR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_ObR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_AmuDaryaR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_BoHai,relative-cost-logit
China,root,ProtectedUnmanagedPasture_LBalkash,relative-cost-logit
China,root,ProtectedUnmanagedPasture_SyrDaryaR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_ZiyaHe,relative-cost-logit
China,root,ProtectedUnmanagedPasture_ChinaCst,relative-cost-logit
China,root,ProtectedUnmanagedPasture_HuangHeR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Tarim,relative-cost-logit
China,root,ProtectedUnmanagedPasture_IndusR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Tibet,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Taiwan,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Yangtze,relative-cost-logit
China,root,ProtectedUnmanagedPasture_XunJiang,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Hong,relative-cost-logit
China,root,ProtectedUnmanagedPasture_GangesR,relative-cost-logit
China,root,ProtectedUnmanagedPasture_SChinaSea,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Hainan,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Mekong,relative-cost-logit
China,root,ProtectedUnmanagedPasture_Salween,relative-cost-logit
China,root,ProtectedUnmanagedPasture_IrrawaddyR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_BalticSea,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_DnkGrmCst,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_NarvaR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_DaugavaR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_OderR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_WislaR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_ElbeR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_PolandCst,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_NemanR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_DniesterR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_DanubeR,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_AdrBlkSea,relative-cost-logit
EU-12,root,ProtectedUnmanagedPasture_MeditE,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_ScndnvN,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_Sweden,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_Finland,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_Scotland,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_NevaR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_DnkGrmCst,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_Ireland,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_EngWales,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_EmsWeserR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_OderR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_ElbeR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_RhineR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_ScheldtR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_FranceCstW,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_LoireR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_SeineR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_ItalyCstE,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_DanubeR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_AdrBlkSea,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_PoR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_ItalyCstW,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_IberiaCst,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_FranceCstS,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_RhoneR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_MeditIsl,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_Gironde,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_SpainCstSE,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_TiberR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_TagusR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_EbroR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_DouroR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_GuadianaR,relative-cost-logit
EU-15,root,ProtectedUnmanagedPasture_GuadalqR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_NevaR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_DaugavaR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_WislaR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_NemanR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_DnieperR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_BlackSeaN,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_DniesterR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_DonR,relative-cost-logit
Europe_Eastern,root,ProtectedUnmanagedPasture_DanubeR,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_DanubeR,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_AdrBlkSea,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_BlackSeaS,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_CaspianSW,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_MeditE,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_TigrEuphR,relative-cost-logit
Europe_Non_EU,root,ProtectedUnmanagedPasture_EJrdnSyr,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_ScndnvN,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_Iceland,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_Sweden,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_RhineR,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_DanubeR,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_PoR,relative-cost-logit
European Free Trade Association,root,ProtectedUnmanagedPasture_RhoneR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IndusR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_SabarmatiR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_GangesR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_MahiR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_BengalBay,relative-cost-logit
India,root,ProtectedUnmanagedPasture_TaptiR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_BengalW,relative-cost-logit
India,root,ProtectedUnmanagedPasture_BrahmaniR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_MahanadiR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_GodavariR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IndCstNE,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IndCstW,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IrrawaddyR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_KrishnaR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IndCstE,relative-cost-logit
India,root,ProtectedUnmanagedPasture_PennarR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_CauveryR,relative-cost-logit
India,root,ProtectedUnmanagedPasture_IndCstS,relative-cost-logit
India,root,ProtectedUnmanagedPasture_NarmadaR,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_IdnE,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_BorneoCstN,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_Sumatra,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_Sulawesi,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_Kalimantan,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_IrianJaya,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_JavaTimor,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_SepikR,relative-cost-logit
Indonesia,root,ProtectedUnmanagedPasture_FlyR,relative-cost-logit
Japan,root,ProtectedUnmanagedPasture_Japan,relative-cost-logit
Japan,root,ProtectedUnmanagedPasture_Taiwan,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_MexBaja,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_MexCstNW,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_MexGulf,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_YucatanP,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_MexInt,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_MexCstW,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_Papaloapan,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_RioLerma,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_RioVerde,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_GrijUsuR,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_RioBalsas,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_CntAmer,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_Tehuantpc,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_California,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_UsaColoRS,relative-cost-logit
Mexico,root,ProtectedUnmanagedPasture_RioGrande,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_CaspianE,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_CaspianSW,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_MeditE,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_Iran,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_TigrEuphR,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_PersianGulf,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_FarahrudR,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_RedSeaE,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_ArabianP,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_DeadSea,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_Helmand,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_SinaiP,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_EJrdnSyr,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_AfrCstNE,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_HamuMashR,relative-cost-logit
Middle East,root,ProtectedUnmanagedPasture_ArabianSea,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_AmuDaryaR,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_Tarim,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_IndusR,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_Helmand,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_HamuMashR,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_ArabianSea,relative-cost-logit
Pakistan,root,ProtectedUnmanagedPasture_SabarmatiR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_SiberiaN,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_SiberiaW,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_KaraSea,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_LenaR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_ScndnvN,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_BarentsSea,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_Finland,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_DvinaRN,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_NevaR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_VolgaR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_BalticSea,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_NarvaR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_DaugavaR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_PolandCst,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_NemanR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_RusCstSE,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_UralR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_DnieperR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_Gobi,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_AmurR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_CaspianNE,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_BlackSeaN,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_YeniseiR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_DonR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_ObR,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_BlackSeaS,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_CaspianSW,relative-cost-logit
Russia,root,ProtectedUnmanagedPasture_SyrDaryaR,relative-cost-logit
South Africa,root,ProtectedUnmanagedPasture_OrangeR,relative-cost-logit
South Africa,root,ProtectedUnmanagedPasture_AfrCstSW,relative-cost-logit
South Africa,root,ProtectedUnmanagedPasture_AfrCstS,relative-cost-logit
South Africa,root,ProtectedUnmanagedPasture_LimpopoR,relative-cost-logit
South Africa,root,ProtectedUnmanagedPasture_AfrCstSSW,relative-cost-logit
South America_Northern,root,ProtectedUnmanagedPasture_SAmerCstN,relative-cost-logit
South America_Northern,root,ProtectedUnmanagedPasture_OrinocoR,relative-cost-logit
South America_Northern,root,ProtectedUnmanagedPasture_SAmerCstNE,relative-cost-logit
South America_Northern,root,ProtectedUnmanagedPasture_MagdalenaR,relative-cost-logit
South America_Northern,root,ProtectedUnmanagedPasture_AmazonR,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_ColEcuaCst,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_AmazonR,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_ChileCstS,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_PeruCst,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_BrzCstS,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_LaPuna,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_RioLaPlata,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_ChileCstN,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_ArgColoR,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_NegroR,relative-cost-logit
South America_Southern,root,ProtectedUnmanagedPasture_ArgCstS,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_CaspianE,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_AmuDaryaR,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_IndusR,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_FarahrudR,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_Helmand,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_HamuMashR,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_GangesR,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_BengalBay,relative-cost-logit
South Asia,root,ProtectedUnmanagedPasture_SriLanka,relative-cost-logit
South Korea,root,ProtectedUnmanagedPasture_Korea,relative-cost-logit
Southeast Asia,root,ProtectedUnmanagedPasture_RusCstSE,relative-cost-logit
